City,Address,Reviews,Nightly Rate (Main Price),Room Type,Accommodates,Bedrooms,Beds,Property Type,Bathrooms,Check In,Check Out,Kitchen,Internet,TV,Essentials,Shampoo,Heating,Air Conditioning,Washer,Dryer,Free Parking on Premises,Wireless Internet,Cable TV,Breakfast,Pets Allowed,Family/Kid Friendly,Suitable for Events,Smoking Allowed,Wheelchair Accessible,Elevator in Building,Indoor Fireplace,Buzzer/Wireless Intercom,Doorman,Pool,Hot Tub,Gym,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Extra People,Cleaning Fee,Security Deposit,Weekly Price,Monthly Price,Cancellation,Minimum Stay
"Westwood, Los Angeles, CA",Westwood (UCLA) Private Room/Ba,0,$65,Private room,2,1,1,Apartment,2, , ,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No Charge, , ,,,Flexible,1 night
"Westwood, Los Angeles, CA",PENTHOUSE  SUITE PRIME AREA IN LA,0,$900,Shared room,1,1,1,Apartment,1, , ,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No, , , ,,,Flexible,1 night
"Westwood, Los Angeles, CA",GORGEOUS HIGH RISE APARTMENT!!!,0,$430,Entire home/apt,6,2,2,Apartment,2.5, , ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No Charge, , ,$3000,$11800,Strict,7 nights
"Westwood, Los Angeles, CA",Large shared room with gym and pool,0,$50,Shared room,3,1,2,Apartment,1, , ,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,$50 / night after the first guest,$20,$400,$400,$700,Strict,1 night
"Westwood, Los Angeles, CA",Private Room in Westwood Village,0,$100,Private room,2,1,1,Apartment,1, , ,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No Charge, , ,$500,$2000,Flexible,1 night
"Westwood, Los Angeles, CA","Studio With Swimming Pool, Gym.",0,$134,Entire home/apt,2,0,2,Apartment,1, , ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Charge, , ,$750,$2500,Flexible,6 nights
"Westwood, Los Angeles, CA","650 Landfair, Los Angeles",0,$64,Shared room,3,1,1,Apartment,1, , ,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,$64 / night after the first guest, , ,$448,$1899,Flexible,1 night
"Westwood, Los Angeles, CA",Fabulous Private Room for Rent,0,$97,Private room,1,1,1,Apartment,2,11:00 AM,11:00 AM,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No, , , ,,,Strict,7 nights
"Westwood, Los Angeles, CA",Lap of Luxury 4BR/4BA home must see,0,$1000,Entire home/apt,8,4,4,House,4,3:00 PM,12:00 PM (noon),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,$50 / night after 6 guests,$300,$750,$5200,$21000,Strict,3 nights
"Westwood, Los Angeles, CA",Shared Rm in 2BR/2BA Apt / Westwood,0,$45,Shared room,1,1,1,Apartment,1, , ,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No, ,$10, ,$300,,Flexible,1 night
