SN,Suburb,Category,Business Name,Address,Postcode,Latitude,Longitude,Short Description,Contact Phone,Contact Email,Website,Rating,Reviews
140,"Werribee, VIC",doctors,Wyndham Eye Specialist,"297 Princess Hwy, Werribee VIC 3030",3030,-37.885457,144.697135,,(03) 9749 7846,,,0.0,0
141,"Werribee, VIC",doctors,Green Jack Dr,"253 Heaths Rd, Werribee VIC 3030",3030,-37.87758,144.67853,,(03) 9748 4411,,,0.0,0
142,"Werribee, VIC",doctors,Markov G Dr,"Werribee Mercy Hospital 300 Princes Hwy, Werribee VIC 3030",3030,-37.886267,144.69695,,(03) 9216 8633,,,0.0,0
143,"Tarneit, VIC",doctors,Derrimut Rd Health Clinic,"412 Derrimut Rd, Tarneit VIC 3029",3030,-37.847507,144.689608,Bulk Billing & Open Late Mon-Fri,(03) 8742 2088,,http://www.derrimutroadhealthclinic.com.au,5.0,1
144,"Richmond, VIC",doctors,Medownick Laser Clinic,"185 Hoddle St, Richmond VIC 3121",3026,-37.816882,144.990443,Leaders In Laser Eye Surgery,1800 373 937,info@medownick.com.au,http://www.medownicklasereyesurgery.com.au/,0.0,0
145,"Derrimut, VIC",doctors,Caroline Springs Medical Centre,Derrimut VIC 3030,3026,-37.797063,144.765297,"Bulk Billing - 2-6 Caroline Springs Blv, Caroline Springs",(03) 8361 8073,dralani.melbourne@yahoo.com.au,http://www.carolinespringsmedicalcentre.com.au,0.0,0
146,"Altona, VIC",doctors,Nursing Career Development Australia,Altona VIC 3018,3026,-37.864771,144.818301,,0430390946,mail@ncdagroup.com,http://www.ncdagroup.com,0.0,0
147,"Altona Meadows, VIC",doctors,Altona Meadows Family Medical Clinic,"100 Victoria St, Altona Meadows VIC 3028",3026,-37.87299,144.78626,,(03) 9369 5000,,,0.0,0
148,"Sunshine West, VIC",doctors,Fairbairn Road Clinic,"65 Fairbairn Rd, Sunshine West VIC 3020",3026,-37.80029,144.81811,,(03) 9317 3706,,,0.0,0
149,"Sunshine West, VIC",doctors,The Fairbairn Road Medical Centre,"65 Fairbairn Rd, Sunshine West VIC 3020",3026,-37.80029,144.81811,,(03) 9364 8372,,,0.0,0
150,"Laverton, VIC",doctors,Total Care Medical Centre,"42 Whittaker Av St, Laverton VIC 3028",3026,-37.85274,144.77494,,(03) 9931 1551,,,0.0,0
151,"Altona North, VIC",doctors,Ledenda Michael Dr,"Cnr Dohertys Rd & Grieve Pde, Altona North VIC 3025",3026,-37.831581,144.826669,,(03) 9369 2444,,,0.0,0
152,"Laverton, VIC",doctors,A Total Care Medical Centre,"42 Whittaker Ave, Laverton VIC 3028",3026,-37.852741,144.774945,,(03) 9931 1551,,,0.0,0
153,"Laverton, VIC",doctors,Keane Kieran Dr,"Shop 3 8 Neville Ave, Laverton VIC 3028",3026,-37.86828,144.76069,,(03) 9369 5711,,,0.0,0
154,"Altona Meadows, VIC",doctors,Lifson Harold,"100 Victoria St, Altona Meadows VIC 3028",3026,-37.87299,144.78626,,(03) 9369 5000,,,0.0,0
155,"Altona North, VIC",doctors,Westgate Sports Medicine Centre,"Cnr Grieve Pde & Dohertys Rd, Altona North VIC 3025",3026,-37.831581,144.826669,,(03) 9369 2444,,,0.0,0
156,"Altona Meadows, VIC",doctors,Hampton M,"100 Victoria St, Altona Meadows VIC 3028",3026,-37.87299,144.78626,,(03) 9369 5000,,,0.0,0
157,"Altona North, VIC",doctors,Yu Kathy,"Cnr Grieve Pde & Dohertys Rd, Altona North VIC 3025",3026,-37.831581,144.826669,,(03) 9369 2444,,,0.0,0
158,"Laverton, VIC",doctors,Laverton Medical Centre,"Shop 3, 8 Neville Ave, Laverton VIC 3028",3026,-37.86828,144.76069,,(03) 9369 5711,,,0.0,0
159,"Altona North, VIC",doctors,Fuller Peter Dr,"Cnr Dohertys Rd & Grieve Pde, Altona North VIC 3025",3026,-37.831581,144.826669,,(03) 9369 2444,,,0.0,0
160,"Altona North, VIC",doctors,Middleton David Dr,"Cnr Dohertys Rd & Grieve Pde, Altona North VIC 3025",3026,-37.831581,144.826669,,(03) 9369 2444,,,0.0,0
161,"Altona North, VIC",doctors,Middleton David,"Cnr Grieve Pde & Dohertys Rd, Altona North VIC 3025",3026,-37.831581,144.826669,,(03) 9369 2444,,,0.0,0
162,"Altona Meadows, VIC",doctors,Altona Meadows Diagnostic Centre,"309 Queen St, Altona Meadows VIC 3028",3026,-37.87336,144.7871,,(03) 9360 9833,,,0.0,0
163,"Altona North, VIC",doctors,Fuller Peter J,"Cnr Grieve Pde & Dohertys Rd, Altona North VIC 3025",3026,-37.831581,144.826669,,(03) 9369 2444,,,0.0,0
164,"Altona Meadows, VIC",doctors,Chan Lawrence,"100 Victoria St, Altona Meadows VIC 3028",3026,-37.87299,144.78626,,(03) 9369 5000,,,0.0,0
165,"Altona Meadows, VIC",doctors,Meadows Medical Centre,"311 Queen St, Altona Meadows VIC 3028",3026,-37.87336,144.7871,,(03) 9369 4266,,,0.0,0
166,"Altona Meadows, VIC",doctors,Aufgang Michael Dr,"311 Queen St, Altona Meadows VIC 3028",3026,-37.87336,144.7871,,(03) 9369 4266,,,0.0,0
167,"Altona Meadows, VIC",doctors,Lifson Harold,"100 Victoria St, Altona Meadows VIC 3028",3026,-37.87299,144.78626,,(03) 9369 5000,,,0.0,0
168,"Altona Meadows, VIC",doctors,Hampton Mike,"100 Victoria St, Altona Meadows VIC 3028",3026,-37.87299,144.78626,,(03) 9369 5000,,,0.0,0
169,"Altona Meadows, VIC",doctors,Chan Lawrence,"100 Victoria St, Altona Meadows VIC 3028",3026,-37.87299,144.78626,,(03) 9369 5000,,,0.0,0
170,"Altona Meadows, VIC",doctors,Calcutt Ian,"100 Victoria St, Altona Meadows VIC 3028",3026,-37.87299,144.78626,,(03) 9369 5000,,,0.0,0
171,"Laverton, VIC",doctors,Gilbourne P Dr,"Shop 3 8 Neville Ave, Laverton VIC 3028",3026,-37.86828,144.76069,,(03) 9369 5711,,,0.0,0
172,"Sunshine, VIC",doctors,Sunshine Central Medical Clinic,"217 Hampshire Rd, Sunshine VIC 3020",3026,-37.785525,144.83166,Fully Qualified Australian Trained Doctor who Bulk Bills.,(03) 9311 1337,info@scmedclin.com.au,http://www.sunshinemedical.com.au,0.0,0
173,"Altona, VIC",doctors,Pier Street Medical Centre,"125 Pier St, Altona VIC 3018",3026,-37.86464,144.8307,,(03) 9398 3711,,http://www.pierstreetmedicalcentre.com.au,0.0,0
174,"Tarneit, VIC",doctors,Derrimut Rd Health Clinic,"412 Derrimut Rd, Tarneit VIC 3029",3026,-37.847507,144.689608,,(03) 8742 2088,,http://www.derrimutroadhealthclinic.com.au,5.0,1
175,"Tarneit, VIC",doctors,Derrimut Rd Health Clinic,"412 Derrimut Rd, Tarneit VIC 3029",3026,-37.847315,144.68991,,(03) 8742 2088,,http://www.derrimutroadhealthclinic.com.au,5.0,1
176,"Sunshine, VIC",doctors,Durham Road Clinic,"141 Durham Rd, Sunshine VIC 3020",3026,-37.7884,144.82802,First & Longest Established Surgery In Sunshine - Family Medical Care.,(03) 9310 1792,,,0.0,0
177,"Sunshine, VIC",doctors,The Clinic Sunshine,"53 Devonshire Rd, Sunshine VIC 3020",3026,-37.78501,144.83536,"Dr's Neville Poynton, Philip Yazbek, Maria Tomic, & Melinda Humphries",(03) 9310 1479,,,0.0,0
178,"Deer Park, VIC",doctors,Tristar Medical Group,"Shop 1, 2, 3 8 Hatchlands Drive (Cnr Robins Road), Deer Park VIC 3023",3026,-37.777546,144.755836,,(03) 8361 7189,deerparkreception@tristarmedicalgroup.com.au,http://www.tristarmedicalgroup.com.au,0.0,0
179,"St Albans, VIC",doctors,St Albans Dermatology,"198 Furlong Rd, St Albans VIC 3021",3026,-37.76025,144.814,,(03) 9356 0411,admin@stalbansderm.com.au,http://www.stalbansderm.com.au,0.0,0
180,"Altona, VIC",doctors,Altona Medical Centre,"110 Queen St, Altona VIC 3018",3026,-37.86942,144.83112,Open 6 Days,(03) 9399 3536,,,0.0,0
181,"Tarneit, VIC",doctors,Derrimut Rd Health Clinic,"412 Derrimut Rd, Tarneit VIC 3029",3029,-37.847507,144.689608,,(03) 8742 2088,,http://www.derrimutroadhealthclinic.com.au,5.0,1
182,"Tarneit, VIC",doctors,Derrimut Rd Health Clinic,"412 Derrimut Rd, Tarneit VIC 3029",3029,-37.847315,144.68991,,(03) 8742 2088,,http://www.derrimutroadhealthclinic.com.au,5.0,1
183,"Hoppers Crossing, VIC",doctors,HeartWest,"118 Derrimut Rd, Hoppers Crossing VIC 3029",3029,-37.87528,144.6837,,(03) 9748 7377,wyndham@heartwest.com.au,http://www.heartwest.com.au/index.html,0.0,0
184,"Hoppers Crossing, VIC",doctors,Hoppers Crossing Medical Centre,"110 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87855,144.69501,,(03) 9749 3200,,,0.0,0
185,"Hoppers Crossing, VIC",doctors,Hampstead Drive Medical Centre,"2 Hampstead Drv, Hoppers Crossing VIC 3029",3029,-37.879314,144.69376,,(03) 8742 4938,,,0.0,0
186,"Hoppers Crossing, VIC",doctors,Dr Ailina Ismail,"2 Hampstead Drv, Hoppers Crossing VIC 3029",3029,-37.879315,144.693758,,(03) 8742 7303,,,0.0,0
187,"Hoppers Crossing, VIC",doctors,Donald Fraser Dr,"2 Hampstead Drv, Hoppers Crossing VIC 3029",3029,-37.879314,144.69376,,(03) 8742 2190,,,0.0,0
188,"Hoppers Crossing, VIC",doctors,Parker H J,"79 Morris Rd, Hoppers Crossing VIC 3029",3029,-37.87802,144.70117,,(03) 9387 1000,,,0.0,0
189,"Hoppers Crossing, VIC",doctors,Fyffe Naome,"83a Derrimut Rd, Hoppers Crossing VIC 3029",3029,-37.88577,144.68108,,(03) 9742 3932,,,0.0,0
190,"Hoppers Crossing, VIC",doctors,KK Medical Practice,"105 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.879346,144.696211,,(03) 9749 0700,,,0.0,0
191,"Hoppers Crossing, VIC",doctors,Pathcare Consulting Pathologists Pty Ltd,"79 Morris Rd, Hoppers Crossing VIC 3029",3029,-37.87802,144.70117,,(03) 9974 6969,,,0.0,0
192,"Hoppers Crossing, VIC",doctors,Boag Simon,"Cnr Hogans Rd & Mossfiel Drv, Hoppers Crossing VIC 3029",3029,-37.86376,144.69077,,(03) 9748 0855,,,0.0,0
193,"Hoppers Crossing, VIC",doctors,Taft Diagnostic Imaging Pty Ltd,"267 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.8774,144.67726,,(03) 9748 9044,,,0.0,0
194,"Tarneit, VIC",doctors,Tarneit Family Medical and Dental Centre,"937-941 Sayers Rd, Tarneit VIC 3029",3029,-37.845356,144.654624,,(03) 8742 4676,,,0.0,0
195,"Hoppers Crossing, VIC",doctors,AbouSeif Nader Dr,"63 Hogans Rd, Hoppers Crossing VIC 3029",3029,-37.86423,144.69472,,(03) 9749 6777,,,0.0,0
196,"Hoppers Crossing, VIC",doctors,Underwood Alan Dr,"63 Hogans Rd, Hoppers Crossing VIC 3029",3029,-37.86423,144.69472,,(03) 9749 6777,,,0.0,0
197,"Hoppers Crossing, VIC",doctors,Chow Debbie,"83a Derrimut Rd, Hoppers Crossing VIC 3029",3029,-37.88577,144.68108,,(03) 9742 3932,,,0.0,0
198,"Hoppers Crossing, VIC",doctors,Sharwood Carolyn Dr,"110 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87855,144.69501,,(03) 9749 3200,,,0.0,0
199,"Hoppers Crossing, VIC",doctors,Independent Imaging Pty Ltd,"119 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87921,144.69496,,(03) 9749 4555,,,0.0,0
200,"Hoppers Crossing, VIC",doctors,Armitage Elissa Dr,"110 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87855,144.69501,,(03) 9749 3200,,,0.0,0
201,"Hoppers Crossing, VIC",doctors,MOSSFIEL MEDICAL CENTRE,"166 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87807,144.69061,,(03) 9749 6666,,,0.0,0
202,"Hoppers Crossing, VIC",doctors,Smith Neil Dr,"Port Phillip Specialist Medical Centre 218 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87745,144.68479,,(03) 9749 4699,,,0.0,0
203,"Hoppers Crossing, VIC",doctors,Hogans Road Medical Centre,"63 Hogans Rd, Hoppers Crossing VIC 3029",3029,-37.86423,144.69472,,(03) 9749 6777,,,0.0,0
204,"Hoppers Crossing, VIC",doctors,Hogans Rd Medical Centre,"63 Hogans Rd, Hoppers Crossing VIC 3029",3029,-37.86423,144.69472,,(03) 9749 6777,,,0.0,0
205,"Hoppers Crossing, VIC",doctors,Werribee Group Healthcare,"1 Barber Drv, Hoppers Crossing VIC 3029",3029,-37.8704,144.68373,,(03) 9748 7070,,,0.0,0
206,"Hoppers Crossing, VIC",doctors,Krygger Jenny Dr,"63 Hogans Rd, Hoppers Crossing VIC 3029",3029,-37.86423,144.69472,,(03) 9749 6777,,,0.0,0
207,"Tarneit, VIC",doctors,Wyndham Village Medical Centre,"Wydham Village Shopping Centre, 380 Sayers Rd, Tarneit VIC 3029",3029,-37.84934,144.70483,,(03) 8742 7100,,,0.0,0
208,"Hoppers Crossing, VIC",doctors,Ghani A Dr,"110 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87855,144.69501,,(03) 9749 3200,,,0.0,0
209,"Hoppers Crossing, VIC",doctors,Westgate Medical Centre,"381 Sayers Rd, Hoppers Crossing VIC 3029",3029,-37.850878,144.705871,,(03) 9748 5088,,,0.0,0
210,"Hoppers Crossing, VIC",doctors,Pereira Jeremy J Dr,"118 Derrimut Rd, Hoppers Crossing VIC 3029",3029,-37.87528,144.6837,,(03) 9748 7377,,,0.0,0
211,"Hoppers Crossing, VIC",doctors,Igoor Payal Dr,"110 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87855,144.69501,,(03) 9749 3200,,,0.0,0
212,"Hoppers Crossing, VIC",doctors,Markov G Dr,"218 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87745,144.68479,,(03) 9749 4699,,,0.0,0
213,"Hoppers Crossing, VIC",doctors,Scala Sue Dr,"110 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.87855,144.69501,,(03) 9749 3200,,,0.0,0
214,"Hoppers Crossing, VIC",doctors,Piaggio Robert,"267 Heaths Rd, Hoppers Crossing VIC 3029",3029,-37.8774,144.67726,,(03) 9748 9044,,,0.0,0
215,"Hoppers Crossing, VIC",doctors,Searle Russell Dr,"63 Hogans Rd, Hoppers Crossing VIC 3029",3029,-37.86423,144.69472,,(03) 9749 6777,,,0.0,0
216,"Tarneit, VIC",doctors,Derrimut Rd Health Clinic,"412 Derrimut Rd, Tarneit VIC 3029",3029,-37.847507,144.689608,Bulk Billing & Open Late Mon-Fri,(03) 8742 2088,,http://www.derrimutroadhealthclinic.com.au,5.0,1
217,"Werribee, VIC",Electronics,Jaycar Electronics,"Cnr Synnot & Wedge Sts, Werribee VIC 3030",3030,-37.904253,144.658526,,(03) 9741 8951,,http://www.jaycar.com.au,0.0,0
218,"Sunshine West, VIC",Electronics,RS Compoments,"668 Somerville Rd, Sunshine West VIC 3020",3030,-37.80501,144.8166,"550,000 Products - Electronic, Electrical & Industrial",1300 656 636,RSOnline.AU@rs-components.com,http://www.rsaustralia.com,0.0,0
219,"Altona, VIC",Electronics,Dick Smith Electronics,"Shop L32, Altona Gate S/C, 124 Millers Rd, Altona VIC 3018",3030,-37.856484,144.844033,,(03) 9314 6611,,http://www.dicksmith.com.au,3.0,1
220,"Sunshine West, VIC",Electronics,RS Components,"668 Somerville Rd, Sunshine West VIC 3020",3030,-37.80501,144.8166,,1300 366 189,RSOnline.AU@rs-components.com,http://www.rsaustralia.com,0.0,0
221,"Truganina, VIC",Electronics,Sun Electronics,"45 Brigalow Drv, Truganina VIC 3029",3030,-37.838009,144.715144,,(03) 8368 2668,,,0.0,0
222,"Sunshine West, VIC",Electronics,RS Components Pty Limited,"668 Somerville Rd, Sunshine West VIC 3020",3030,-37.80501,144.8166,,1300 656 636,,,0.0,0
223,"West Melbourne, VIC",Electronics,Radio Parts Group,"562 Spencer St, West Melbourne VIC 3003",3030,-37.80695,144.94763,Over 70 Years Experience With 6000+ Products.,(03) 9328 1806,sales@radioparts.com.au,http://www.radioparts.com.au,0.0,0
224,"Coburg, VIC",Electronics,Jaycar Electronics,"266 Sydney Rd, Coburg VIC 3058",3030,-37.74814,144.96579,,(03) 9384 1811,,http://www.jaycar.com.au,3.0,1
225,"Melbourne, VIC",Electronics,Jaycar Electronics,"45 A'Beckett St, Melbourne VIC 3000",3030,-37.80903,144.9623,,(03) 9663 2030,,http://www.jaycar.com.au,3.5,2
226,"Melbourne, VIC",Electronics,Dick Smith Electronics,"Shop 20, Midtown Plaza 246 Bourke St, Melbourne VIC 3000",3030,-37.8134,144.96608,,(03) 9639 0396,,http://www.dicksmith.com.au,2.5,2
227,"Tullamarine, VIC",Electronics,Global Cold Chain Solutions,"20 Lilee Crs, Tullamarine VIC 3043",3030,-37.705123,144.848809,,(03) 9330 3603,info@globalcoldchain.com,http://www.globalcoldchain.com,0.0,0
228,"Sunshine, VIC",Electronics,Jaycar Electronics,"204 McIntyre Rd, Sunshine VIC 3020",3030,-37.755828,144.832666,,(03) 9310 8066,,http://www.jaycar.com.au,0.0,0
229,"Kew East, VIC",Electronics,Jaycar Electronics,"782 High St, Kew East VIC 3102",3030,-37.797181,145.056341,,(03) 9859 6188,,http://www.jaycar.com.au,0.0,0
230,"Cheltenham, VIC",Electronics,Jaycar Electronics,"315 Warrigal Rd, Cheltenham VIC 3192",3030,-37.959604,145.075216,,(03) 9585 5011,,http://www.jaycar.com.au,0.0,0
231,"Sunshine, VIC",Electronics,Dick Smith Electronics,"Shop 14A, Sunshine Mkt Place, 80 Harvester Rd, Sunshine VIC 3020",3030,-37.781749,144.830818,,(03) 9312 4946,,http://www.dicksmith.com.au,0.0,0
232,"Hawthorn, VIC",Electronics,Vaisala Pty Ltd,"3 Guest St, Hawthorn VIC 3122",3030,-37.82298,145.03298,,(03) 9815 6700,,http://www.vaisala.com,0.0,0
233,"Bentleigh, VIC",Electronics,Pipos Systems,"1/ 60 Mortimore St, Bentleigh VIC 3204",3030,-37.928263,145.046122,,1800 727 133,,http://www.pipos.com.au,0.0,0
234,"Cheltenham, VIC",Electronics,Dick Smith Electronics,"Tenancy 3066, Lvl 3 Westfield, 1239 Nepean Hwy, Cheltenham VIC 3192",3030,-37.957833,145.055804,,(03) 8581 9860,,http://www.dicksmith.com.au,0.0,0
235,"Cheltenham, VIC",Electronics,HiTech Electronic Products Pty Ltd,"Unit 5/ 34 Christensen St, Cheltenham VIC 3192",3030,-37.949639,145.066957,,(03) 9532 2002,,http://www.hi-techelectronicseltproducts.com.au,0.0,0
236,"Mentone, VIC",Electronics,Dick Smith Electronics,"6- 10 Nepean Hwy, Mentone VIC 3194",3030,-37.97507,145.06467,,(03) 9585 5455,,http://www.dicksmith.com.au,0.0,0
237,"Brighton, VIC",Electronics,Dick Smith Electronics,"Cnr Hawthorn Rd & Nepean Hwy, Brighton VIC 3186",3030,-37.914425,145.016575,,(03) 9592 2366,,http://www.dicksmith.com.au,0.0,0
238,"Richmond, VIC",Electronics,Dick Smith Electronics,"Shop MM2, Victoria Gardens S/C, Cnr Victoria & Burnley Sts, Richmond VIC 3121",3030,-37.811337,145.00975,,(03) 9429 0355,,http://www.dicksmith.com.au,0.0,0
239,"Maribyrnong, VIC",Electronics,Dick Smith Electronics,"Shop 3050, Level 3, High Point West Shopping Cntr, Maribyrnong VIC 3032",3030,-37.7733,144.888735,,(03) 9318 6300,,http://www.dicksmith.com.au,0.0,0
240,"Geelong, VIC",Electronics,Jaycar Electronics,"48 Mercer St, Geelong VIC 3220",3030,-38.141863,144.355408,,(03) 5221 5800,,,0.0,0
241,"Moorabbin, VIC",Electronics,BDL Cable  Electrical Company Pty Ltd,"1- 7 Sullivan St, Moorabbin VIC 3189",3030,-37.93925,145.06358,,(03) 9532 1144,,,0.0,0
242,"Preston, VIC",Electronics,ABC All Small Electronic Parts,"172 High St, Preston VIC 3072",3030,-37.74582,145.00304,,(03) 9484 0191,,,0.0,0
243,"South Yarra, VIC",Electronics,Probe Electronics,South Yarra VIC 3141,3030,-37.840259,144.991384,,(03) 9568 6955,,,0.0,0
244,"Cheltenham, VIC",Electronics,Connector World,"162 Weatherall Rd, Cheltenham VIC 3192",3030,-37.97229,145.05048,,(03) 9585 1311,,,0.0,0
245,"Kew, VIC",Electronics,Blip IT Pty Ltd,"9 Hutchinson Drv, Kew VIC 3101",3030,-37.79377,145.02428,,,,,0.0,0
246,"Melbourne*, VIC",Electronics,Jnb Communications Electronics,"Suite 1138, Melbourne* VIC 3004",3030,-37.835964,144.973845,,(03) 9867 1548,,,0.0,0
247,"Ascot Vale, VIC",Electronics,Aashapuri Electronics,"325 Maribyrnong Rd, Ascot Vale VIC 3032",3030,-37.770355,144.902165,,(03) 9078 7259,,,0.0,0
248,"Cheltenham, VIC",Electronics,HiTech Electronic Products Pty Ltd,"Fcty5/ 265 Christensen St, Cheltenham VIC 3192",3030,-37.94635,145.05536,,(03) 9532 2002,,,0.0,0
249,"Prahran, VIC",Electronics,The Samant Group,"PO Box 2302, Prahran VIC 3181",3030,-37.852695,144.999599,,(03) 9029 6361,,,0.0,0
250,"Campbellfield, VIC",Electronics,Australian Interconnection Technology Pty Ltd,"11 A Capital Link Drv, Campbellfield VIC 3061",3030,-37.65705,144.96334,,(03) 9357 7766,,,0.0,0
251,"Melton, VIC",Electronics,Melton Electronics  Communication,"39 Bakery Sq, Melton VIC 3337",3030,-37.684301,144.584281,,(03) 9743 1233,,,0.0,0
252,"Sunshine West, VIC",Electronics,RS Compoments,"668 Somerville Rd, Sunshine West VIC 3020",3026,-37.80501,144.8166,"550,000 Products - Electronic, Electrical & Industrial",1300 656 636,RSOnline.AU@rs-components.com,http://www.rsaustralia.com,0.0,0
253,"Sunshine West, VIC",Electronics,RS Components,"668 Somerville Rd, Sunshine West VIC 3020",3026,-37.80501,144.8166,,1300 366 189,RSOnline.AU@rs-components.com,http://www.rsaustralia.com,0.0,0
254,"Sunshine West, VIC",Electronics,RS Components Pty Limited,"668 Somerville Rd, Sunshine West VIC 3020",3026,-37.80501,144.8166,,1300 656 636,,,0.0,0
255,"Altona, VIC",Electronics,Dick Smith Electronics,"Shop L32, Altona Gate S/C, 124 Millers Rd, Altona VIC 3018",3026,-37.856484,144.844033,,(03) 9314 6611,,http://www.dicksmith.com.au,3.0,1
256,"Sunshine, VIC",Electronics,Dick Smith Electronics,"Shop 14A, Sunshine Mkt Place, 80 Harvester Rd, Sunshine VIC 3020",3026,-37.781749,144.830818,,(03) 9312 4946,,http://www.dicksmith.com.au,0.0,0
257,"Truganina, VIC",Electronics,Sun Electronics,"45 Brigalow Drv, Truganina VIC 3029",3026,-37.838009,144.715144,,(03) 8368 2668,,,0.0,0
258,"Williamstown, VIC",Electronics,Pacific Test Equipment Pty Ltd,"16 Dickson Crt, Williamstown VIC 3016",3026,-37.85845,144.88004,,(03) 9397 0453,,,0.0,0
259,"Werribee, VIC",Electronics,Jaycar Electronics,"Cnr Synnot & Wedge Sts, Werribee VIC 3030",3026,-37.904253,144.658526,,(03) 9741 8951,,http://www.jaycar.com.au,0.0,0
260,"Sunshine, VIC",Electronics,Jaycar Electronics,"204 McIntyre Rd, Sunshine VIC 3020",3026,-37.755828,144.832666,,(03) 9310 8066,,http://www.jaycar.com.au,0.0,0
261,"Maribyrnong, VIC",Electronics,Dick Smith Electronics,"Shop 3050, Level 3, High Point West Shopping Cntr, Maribyrnong VIC 3032",3026,-37.7733,144.888735,,(03) 9318 6300,,http://www.dicksmith.com.au,0.0,0
262,"Ascot Vale, VIC",Electronics,Aashapuri Electronics,"325 Maribyrnong Rd, Ascot Vale VIC 3032",3026,-37.770355,144.902165,,(03) 9078 7259,,,0.0,0
263,"Ascot Vale, VIC",Electronics,Data Instrumentation Pty Ltd,"119 Union Rd, Ascot Vale VIC 3032",3026,-37.77546,144.91526,,(03) 9375 7422,,,0.0,0
264,"Keilor East, VIC",Electronics,LDR Electronics,"61 Wyong St, Keilor East VIC 3033",3026,-37.7324,144.86599,,(03) 9336 3803,,,0.0,0
265,"West Melbourne, VIC",Electronics,Radio Parts Group,"562 Spencer St, West Melbourne VIC 3003",3026,-37.80695,144.94763,Over 70 Years Experience With 6000+ Products.,(03) 9328 1806,sales@radioparts.com.au,http://www.radioparts.com.au,0.0,0
266,"Coburg, VIC",Electronics,Jaycar Electronics,"266 Sydney Rd, Coburg VIC 3058",3026,-37.74814,144.96579,,(03) 9384 1811,,http://www.jaycar.com.au,3.0,1
267,"Melbourne, VIC",Electronics,Jaycar Electronics,"45 A'Beckett St, Melbourne VIC 3000",3026,-37.80903,144.9623,,(03) 9663 2030,,http://www.jaycar.com.au,3.5,2
268,"Melbourne, VIC",Electronics,Dick Smith Electronics,"Shop 20, Midtown Plaza 246 Bourke St, Melbourne VIC 3000",3026,-37.8134,144.96608,,(03) 9639 0396,,http://www.dicksmith.com.au,2.5,2
269,"Tullamarine, VIC",Electronics,Global Cold Chain Solutions,"20 Lilee Crs, Tullamarine VIC 3043",3026,-37.705123,144.848809,,(03) 9330 3603,info@globalcoldchain.com,http://www.globalcoldchain.com,0.0,0
270,"South Yarra, VIC",Electronics,Probe Electronics,South Yarra VIC 3141,3026,-37.840259,144.991384,,(03) 9568 6955,,,0.0,0
271,"Melbourne*, VIC",Electronics,Jnb Communications Electronics,"Suite 1138, Melbourne* VIC 3004",3026,-37.835964,144.973845,,(03) 9867 1548,,,0.0,0
272,"Essendon, VIC",Electronics,Litton Precision Products International Inc,"Suite 7, 902-912 Mount Alexander Rd, Essendon VIC 3040",3026,-37.75584,144.91868,,(03) 9375 3838,,,0.0,0
273,"Prahran, VIC",Electronics,Dick Smith,"219 Commercial Rd, Prahran VIC 3181",3026,-37.846854,144.994086,,(03) 9824 0932,,,0.0,0
274,"Hawthorn, VIC",Electronics,Vaisala Pty Ltd,"3 Guest St, Hawthorn VIC 3122",3026,-37.82298,145.03298,,(03) 9815 6700,,http://www.vaisala.com,0.0,0
275,"Brighton, VIC",Electronics,Dick Smith Electronics,"Cnr Hawthorn Rd & Nepean Hwy, Brighton VIC 3186",3026,-37.914425,145.016575,,(03) 9592 2366,,http://www.dicksmith.com.au,0.0,0
276,"Richmond, VIC",Electronics,Dick Smith Electronics,"Shop MM2, Victoria Gardens S/C, Cnr Victoria & Burnley Sts, Richmond VIC 3121",3026,-37.811337,145.00975,,(03) 9429 0355,,http://www.dicksmith.com.au,0.0,0
277,"Preston, VIC",Electronics,ABC All Small Electronic Parts,"172 High St, Preston VIC 3072",3026,-37.74582,145.00304,,(03) 9484 0191,,,0.0,0
278,"Kew, VIC",Electronics,Blip IT Pty Ltd,"9 Hutchinson Drv, Kew VIC 3101",3026,-37.79377,145.02428,,,,,0.0,0
279,"Prahran, VIC",Electronics,The Samant Group,"PO Box 2302, Prahran VIC 3181",3026,-37.852695,144.999599,,(03) 9029 6361,,,0.0,0
280,"Broadmeadows, VIC",Electronics,Tunjay Electronics,"2/22 Dargie Crt, Broadmeadows VIC 3047",3026,-37.67268,144.93075,,(03) 9309 7933,,,0.0,0
281,"Preston, VIC",Electronics,ABC Preston Electronics,"172- 174 High St, Preston VIC 3072",3026,-37.74582,145.00304,,(03) 9484 0191,,,0.0,0
282,"Hawthorn, VIC",Electronics,Manuco Electronics,"11 Church St, Hawthorn VIC 3122",3026,-37.81378,145.02334,,(03) 9852 7922,,,0.0,0
